feature	exposure	coef	k	qval.fdr	Trend
BRANCHED-CHAIN-AA-SYN-PWY: superpathway of branched amino acid biosynthesis	CD	-0.0890379535739689	3	0.0155243302172281	Control-enriched
PWY-6527: stachyose degradation	CD	-0.0962527473081479	3	0.00887417221662498	Control-enriched
PWY-6901: superpathway of glucose and xylose degradation	CD	0.197887765771553	3	0.00870452156700262	Case-enriched
HOMOSER-METSYN-PWY: L-methionine biosynthesis I	CD	-0.135934043018337	3	0.0074835732265058	Control-enriched
PWY0-781: aspartate superpathway	CD	-0.190580087987132	3	0.00679198493872316	Control-enriched
PHOSLIPSYN-PWY: superpathway of phospholipid biosynthesis I (bacteria)	CD	0.210615667862629	3	0.00633505986642428	Case-enriched
PWY-5347: superpathway of L-methionine biosynthesis (transsulfuration)	CD	-0.11724844578019	3	0.00596753694619942	Control-enriched
PENTOSE-P-PWY: pentose phosphate pathway	CD	0.171807479297412	3	0.00561017695561049	Case-enriched
PWY-5103: L-isoleucine biosynthesis III	CD	-0.0865512071310145	3	0.00429120057266713	Control-enriched
PWY4FS-8: phosphatidylglycerol biosynthesis II (non-plastidic)	CD	0.236533361360954	3	0.00293258369958389	Case-enriched
PWY4FS-7: phosphatidylglycerol biosynthesis I (plastidic)	CD	0.236905589439034	3	0.00280961434126959	Case-enriched
PWY-7111: pyruvate fermentation to isobutanol (engineered)	CD	-0.0370435794853476	3	0.0021149704020417	Control-enriched
P161-PWY: acetylene degradation	CD	0.242198106906254	3	0.0021149704020417	Case-enriched
ARO-PWY: chorismate biosynthesis I	CD	-0.0656457225046659	3	0.00210297665192965	Control-enriched
COMPLETE-ARO-PWY: superpathway of aromatic amino acid biosynthesis	CD	-0.0612690840039882	3	0.00204839240138848	Control-enriched
MET-SAM-PWY: superpathway of S-adenosyl-L-methionine biosynthesis	CD	-0.146546650880961	3	0.00157539084486794	Control-enriched
METSYN-PWY: L-homoserine and L-methionine biosynthesis	CD	-0.14019836253376	3	0.00157539084486794	Control-enriched
VALSYN-PWY: L-valine biosynthesis	CD	-0.0446183076321438	3	0.00148735879345159	Control-enriched
ILEUSYN-PWY: L-isoleucine biosynthesis I (from threonine)	CD	-0.0457726071681447	3	0.00126132930215783	Control-enriched
PWY-6163: chorismate biosynthesis from 3-dehydroquinate	CD	-0.0730873105217139	3	0.000799384278827229	Control-enriched
PWY-6737: starch degradation V	CD	-0.159120735966805	3	0.000693598614676911	Control-enriched
HSERMETANA-PWY: L-methionine biosynthesis III	CD	-0.351934236407035	3	0.000324816409121077	Control-enriched
PWY-5484: glycolysis II (from fructose 6-phosphate)	CD	0.186938824738463	3	0.000313926541406388	Case-enriched
GLYCOLYSIS: glycolysis I (from glucose 6-phosphate)	CD	0.19316692961846	3	0.000227787264582448	Case-enriched
PWY-724: superpathway of L-lysine, L-threonine and L-methionine biosynthesis II	CD	-0.0634022009628055	3	5.80440631378673e-05	Control-enriched
PYRIDNUCSYN-PWY: NAD biosynthesis I (from aspartate)	CD	-0.276615314870472	3	3.18970685382238e-05	Control-enriched
PWY66-400: glycolysis VI (metazoan)	CD	0.307314753755225	3	1.35335203836702e-05	Case-enriched
PWY0-1297: superpathway of purine deoxyribonucleosides degradation	CD	0.356494690000218	3	3.68262184948914e-08	Case-enriched
PWY-7196: superpathway of pyrimidine ribonucleosides salvage	UC	-0.253272367184797	2	0.0451393436641774	Control-enriched
ARGININE-SYN4-PWY: L-ornithine de novo  biosynthesis	UC	-0.22144169269776	3	0.0451393436641774	Control-enriched
NONMEVIPP-PWY: methylerythritol phosphate pathway I	UC	-0.0370175233574887	3	0.0415876607588912	Control-enriched
ARO-PWY: chorismate biosynthesis I	UC	-0.0452435056821643	3	0.0158819403707399	Control-enriched
PYRIDNUCSYN-PWY: NAD biosynthesis I (from aspartate)	UC	-0.0874595354787062	3	0.0158819403707399	Control-enriched
PWY-6737: starch degradation V	UC	-0.0645557597322617	3	0.00925971942228006	Control-enriched
PWY-6527: stachyose degradation	UC	-0.0703505667349595	3	0.00925971942228006	Control-enriched
PANTO-PWY: phosphopantothenate biosynthesis I	UC	-0.0539475408008502	3	0.00925971942228006	Control-enriched
HSERMETANA-PWY: L-methionine biosynthesis III	UC	-0.214252822752272	3	0.00265614131511663	Control-enriched
TRNA-CHARGING-PWY: tRNA charging	UC	-0.154083689563629	3	0.000102371981774725	Control-enriched
